AFG,Afghanistan,2019,13162,26,9,48,43,66,13,22,-,-,24,-,-,26,-,-,-,58,17,25,74,-,-,38,36,26,-,-,31,-,-,20,-,-,-,26,48,26,65,-,-,6,-,-,-,-,-,-,-,-,-,-,-,3,-,-,10,-,-
ALB,Albania,2019,503,61,15,32,54,59,-,-,-,-,-,-,-,-,-,-,-,56,-,-,66,-,-,89,-,-,-,-,-,-,-,-,-,-,-,83,-,-,88,-,-,82,-,-,-,-,-,-,-,-,-,-,-,71,-,-,84,-,-
DZA,Algeria,2019,9098,73,6,46,48,92,<1,8,-,-,-,-,-,-,-,-,-,85,<1,15,98,<1,1,99,1,<1,-,-,-,-,-,-,-,-,-,98,2,<1,>99,<1,<1,99,-,-,-,-,-,-,-,-,-,-,-,98,-,-,>99,-,-
AND,Andorra,2019,19,88,19,39,42,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
AGO,Angola,2019,12368,66,17,46,37,-,-,68,-,-,-,-,-,-,-,-,-,-,-,82,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,Antigua and Barbuda,2019,20,25,15,49,35,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
ARG,Argentina,2019,10875,92,20,40,39,-,-,10,-,-,2,-,-,17,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARM,Armenia,2019,564,63,19,30,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2019,4424,86,7,51,41,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
AZE,Azerbaijan,2019,1848,56,25,27,48,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BHR,Bahrain,2019,287,89,22,41,37,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BGD,Bangladesh,2019,45181,37,19,33,48,82,10,8,85,13,2,90,7,4,-,-,-,78,13,9,93,7,<1,56,44,<1,50,50,<1,50,49,<1,-,-,-,48,50,2,58,41,1,51,43,7,47,48,5,48,41,11,-,-,-,49,37,15,49,48,4
BRB,Barbados,2019,45,31,14,44,42,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BLR,Belarus,2019,1419,79,23,31,46,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BEL,Belgium,2019,1963,98,20,41,39,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BLZ,Belize,2019,108,46,14,42,44,-,-,-,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BEN,Benin,2019,4371,48,16,43,42,45,34,21,-,-,-,-,-,-,-,-,-,45,37,19,-,-,27,-,-,28,-,-,-,-,-,-,-,-,-,-,-,30,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BMU,Bermuda,2019,9,100,6,40,53,-,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
BTN,Bhutan,2019,198,42,12,46,42,64,25,11,-,-,-,-,-,-,-,-,-,58,31,11,63,29,8,86,3,11,-,-,<1,-,-,-,-,-,-,75,14,11,93,4,3,-,-,18,-,-,-,-,-,-,-,-,-,-,-,19,-,-,17
BOL,Bolivia (Plurinational State of),2019,3269,70,15,43,42,-,-,-,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BWA,Botswana,2019,751,70,22,48,31,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BRA,Brazil,2019,42289,87,11,33,56,-,-,15,-,-,4,-,-,44,-,-,21,-,-,18,-,-,6,-,-,5,-,-,4,-,-,10,-,-,7,-,-,4,-,-,5,61,35,4,61,36,3,60,24,16,77,17,6,61,35,4,65,33,2
VGB,British Virgin Islands,2019,5,48,12,45,42,93,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,84,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,95,5,<1,-,-,-,-,-,-,-,-,-,91,9,<1,>99,<1,<1
BRN,Brunei Darussalam,2019,105,78,18,37,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
BFA,Burkina Faso,2019,8604,30,22,40,38,53,7,41,-,-,28,-,-,49,-,-,30,-,-,41,42,14,44,70,10,20,-,-,11,-,-,30,-,-,15,-,-,18,53,14,32,25,-,-,-,-,-,-,-,-,-,-,-,26,-,-,8,-,-
BDI,Burundi,2019,4111,13,15,45,40,46,13,41,-,-,-,-,-,-,48,3,49,45,8,48,52,33,15,49,46,5,-,-,-,-,-,-,-,-,-,35,56,9,93,7,<1,17,16,67,-,-,-,-,-,-,52,17,31,18,4,79,14,21,64
CPV,Cabo Verde,2019,152,66,19,41,40,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,90,8,1,-,-,-,-,-,-,-,-,-,91,9,<1,85,15,<1,84,-,-,-,-,-,-,-,-,-,-,-,83,-,-,>99,-,-
KHM,Cambodia,2019,4837,24,21,42,37,73,<1,27,75,<1,25,73,<1,27,58,<1,42,80,2,18,76,<1,24,32,30,38,38,18,43,31,31,38,11,21,68,40,34,25,48,34,18,48,5,47,55,6,40,47,6,48,38,4,58,55,6,40,42,8,51
CMR,Cameroon,2019,9704,57,16,43,41,34,30,36,-,-,29,-,-,65,-,-,39,34,23,43,-,-,-,39,12,49,-,-,-,-,-,-,-,-,-,39,7,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CYM,Cayman Islands,2019,16,100,19,39,42,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
CAF,Central African Republic,2019,2111,42,21,39,40,16,7,77,-,-,-,-,-,-,-,-,49,16,3,81,-,-,58,-,-,59,-,-,-,-,-,-,-,-,24,-,-,59,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TCD,Chad,2019,6974,23,23,40,37,23,14,63,-,-,-,-,-,-,-,-,41,19,11,70,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CHL,Chile,2019,3726,88,19,41,40,-,-,4,-,-,<1,-,-,10,-,-,-,-,-,4,-,-,-,-,-,-,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CHN,China,2019,252537,60,20,41,39,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,42,-,-,-,-,-,-,-,-,-,-,-,1,-,-,<1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1
HKG,"China, Hong Kong Special Administrative Region",2019,845,100,22,41,38,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
MAC,"China, Macao Special Administrative Region",2019,74,100,21,44,35,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
COL,Colombia,2019,10731,81,20,35,45,-,-,26,-,-,6,-,-,50,-,-,-,-,-,26,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COM,Comoros,2019,324,29,22,39,39,-,-,88,-,-,-,-,-,-,-,-,-,-,-,89,-,-,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COG,Congo,2019,2146,67,22,40,38,-,-,56,-,-,-,-,-,-,-,-,44,-,-,60,-,-,32,-,-,40,-,-,-,-,-,-,-,-,40,-,-,40,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COK,Cook Islands,2019,4,75,12,41,47,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
CRI,Costa Rica,2019,920,80,15,46,39,84,5,11,-,-,19,-,-,3,-,-,2,86,<1,13,76,18,6,75,22,3,78,19,3,89,8,3,97,1,2,71,26,3,89,8,3,78,<1,22,-,-,18,-,-,10,-,-,6,75,<1,25,85,3,12
CUB,Cuba,2019,1844,77,19,40,42,>99,<1,<1,-,-,<1,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,<1,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
CIV,Côte d’Ivoire,2019,10267,51,21,39,40,-,-,50,-,-,32,-,-,71,-,-,40,-,-,56,-,-,14,-,-,50,-,-,42,-,-,64,-,-,50,-,-,53,-,-,6,-,-,73,-,-,-,-,-,-,-,-,50,-,-,76,-,-,-
COD,Democratic Republic of the Congo,2019,34758,45,24,42,34,-,-,51,-,-,-,-,-,-,-,-,-,-,-,51,-,-,57,-,-,7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DNK,Denmark,2019,1038,88,16,44,39,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
DJI,Djibouti,2019,257,78,16,35,49,-,-,14,-,-,5,-,-,19,-,-,-,-,-,13,-,-,24,-,-,8,-,-,10,-,-,25,-,-,-,-,-,6,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DMA,Dominica,2019,12,71,11,50,39,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
DOM,Dominican Republic,2019,2890,82,20,40,40,-,-,10,-,-,10,-,-,12,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECU,Ecuador,2019,4725,64,21,40,40,87,7,6,93,2,5,81,11,8,93,<1,6,87,6,7,96,<1,4,80,2,19,87,<1,12,73,2,26,87,<1,12,80,1,19,91,<1,9,-,-,23,-,-,14,-,-,31,-,-,11,-,-,22,-,-,7
EGY,Egypt,2019,27387,43,16,46,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SLV,El Salvador,2019,1722,73,18,40,41,82,14,5,-,-,3,-,-,4,-,-,6,80,15,5,84,12,4,87,5,7,92,4,3,85,6,10,87,5,8,87,5,8,92,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GNQ,Equatorial Guinea,2019,416,73,23,43,35,-,-,72,-,-,-,-,-,-,-,-,74,-,-,74,-,-,49,-,-,21,-,-,-,-,-,-,-,-,30,-,-,15,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
